2025/05/10 12:30:57 [error] 15392#14376: *8462 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8463 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8464 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8465 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/is-running?_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8466 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8467 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8468 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8469 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8470 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8471 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/export-log?page=1&per_page=25&blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8472 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8473 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8474 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:30:57 [error] 15392#14376: *8475 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/simplystatic/v1/activity-log?blog_id=1&is_network_admin=undefined&_locale=user HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
2025/05/10 12:31:00 [error] 15392#14376: *8476 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.1", upstream: "fastcgi://php", host: "zumkar-cafe.local", referrer: "http://zumkar-cafe.local/wp-admin/admin.php?page=simply-static-generate"
